Epoch: 1, Train loss: 1.0706, Train Acc: 0.4377, Val loss: 1.0478, Val Acc: 0.4509, Time: 2.5min (2.5 min/epoch)
Epoch: 2, Train loss: 0.9823, Train Acc: 0.5144, Val loss: 0.9482, Val Acc: 0.5276, Time: 4.9min (2.4 min/epoch)
	Save best checkpoint at epoch 2
Epoch: 3, Train loss: 0.8754, Train Acc: 0.5701, Val loss: 0.8123, Val Acc: 0.6258, Time: 7.3min (2.4 min/epoch)
	Save best checkpoint at epoch 3
Epoch: 4, Train loss: 0.7493, Train Acc: 0.6723, Val loss: 0.8410, Val Acc: 0.6902, Time: 9.7min (2.4 min/epoch)
Epoch: 5, Train loss: 0.6006, Train Acc: 0.7346, Val loss: 0.8494, Val Acc: 0.6840, Time: 12.1min (2.4 min/epoch)
Epoch: 6, Train loss: 0.4040, Train Acc: 0.8421, Val loss: 0.5252, Val Acc: 0.8313, Time: 14.5min (2.4 min/epoch)
	Save best checkpoint at epoch 6
Epoch: 7, Train loss: 0.2600, Train Acc: 0.9069, Val loss: 0.6414, Val Acc: 0.8252, Time: 16.9min (2.4 min/epoch)
Epoch: 8, Train loss: 0.1867, Train Acc: 0.9305, Val loss: 0.3961, Val Acc: 0.8926, Time: 19.3min (2.4 min/epoch)
	Save best checkpoint at epoch 8
Epoch: 9, Train loss: 0.1178, Train Acc: 0.9509, Val loss: 0.8786, Val Acc: 0.8221, Time: 21.7min (2.4 min/epoch)
Epoch: 10, Train loss: 0.0990, Train Acc: 0.9626, Val loss: 0.4776, Val Acc: 0.9018, Time: 24.1min (2.4 min/epoch)
Epoch: 11, Train loss: 0.0555, Train Acc: 0.9777, Val loss: 0.3556, Val Acc: 0.9141, Time: 26.5min (2.4 min/epoch)
	Save best checkpoint at epoch 11
Epoch: 12, Train loss: 0.0463, Train Acc: 0.9849, Val loss: 0.4044, Val Acc: 0.9172, Time: 28.9min (2.4 min/epoch)
Epoch: 13, Train loss: 0.0198, Train Acc: 0.9928, Val loss: 0.2006, Val Acc: 0.9724, Time: 31.3min (2.4 min/epoch)
	Save best checkpoint at epoch 13
Epoch: 14, Train loss: 0.0125, Train Acc: 0.9974, Val loss: 0.4714, Val Acc: 0.9356, Time: 33.6min (2.4 min/epoch)
