Epoch: 1, Train loss: 0.0482, Train Acc: 0.9843, Val loss: 0.3049, Val Acc: 0.9479, Time: 2.4min (2.4 min/epoch)
	Save best checkpoint at epoch 1
Epoch: 2, Train loss: 0.0222, Train Acc: 0.9954, Val loss: 0.3686, Val Acc: 0.9479, Time: 4.7min (2.4 min/epoch)
Epoch: 3, Train loss: 0.0663, Train Acc: 0.9777, Val loss: 0.4429, Val Acc: 0.9202, Time: 7.0min (2.3 min/epoch)
Epoch: 4, Train loss: 0.0284, Train Acc: 0.9882, Val loss: 0.6219, Val Acc: 0.8620, Time: 9.4min (2.3 min/epoch)
Epoch: 5, Train loss: 0.0150, Train Acc: 0.9980, Val loss: 0.2567, Val Acc: 0.9540, Time: 11.7min (2.3 min/epoch)
	Save best checkpoint at epoch 5
Epoch: 6, Train loss: 0.0007, Train Acc: 1.0000, Val loss: 0.2407, Val Acc: 0.9540, Time: 14.0min (2.3 min/epoch)
	Save best checkpoint at epoch 6
Epoch: 7, Train loss: 0.0004, Train Acc: 1.0000, Val loss: 0.2556, Val Acc: 0.9571, Time: 16.3min (2.3 min/epoch)
Epoch: 8, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.2357, Val Acc: 0.9571, Time: 18.6min (2.3 min/epoch)
	Save best checkpoint at epoch 8
Epoch: 9, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.2776, Val Acc: 0.9540, Time: 20.9min (2.3 min/epoch)
Epoch: 10, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2604, Val Acc: 0.9540, Time: 23.2min (2.3 min/epoch)
Epoch: 11, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2703, Val Acc: 0.9571, Time: 25.5min (2.3 min/epoch)
Epoch: 12, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2913, Val Acc: 0.9571, Time: 27.8min (2.3 min/epoch)
Epoch: 13, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2835, Val Acc: 0.9571, Time: 30.1min (2.3 min/epoch)
Epoch: 14, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.3046, Val Acc: 0.9632, Time: 32.4min (2.3 min/epoch)
Epoch: 15, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2844, Val Acc: 0.9601, Time: 34.7min (2.3 min/epoch)
Epoch: 16, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2840, Val Acc: 0.9601, Time: 37.0min (2.3 min/epoch)
Epoch: 17, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3037, Val Acc: 0.9571, Time: 39.3min (2.3 min/epoch)
