Epoch: 1, Train loss: 0.0596, Train Acc: 0.9817, Val loss: 0.2113, Val Acc: 0.9417, Time: 2.3min (2.3 min/epoch)
	Save best checkpoint at epoch 1
Epoch: 2, Train loss: 0.0139, Train Acc: 0.9934, Val loss: 0.2615, Val Acc: 0.9509, Time: 4.6min (2.3 min/epoch)
Epoch: 3, Train loss: 0.0162, Train Acc: 0.9948, Val loss: 0.3480, Val Acc: 0.9356, Time: 7.0min (2.3 min/epoch)
Epoch: 4, Train loss: 0.0274, Train Acc: 0.9934, Val loss: 0.4481, Val Acc: 0.9049, Time: 9.3min (2.3 min/epoch)
Epoch: 5, Train loss: 0.0494, Train Acc: 0.9862, Val loss: 0.5578, Val Acc: 0.8865, Time: 11.6min (2.3 min/epoch)
Epoch: 6, Train loss: 0.0027, Train Acc: 1.0000, Val loss: 0.2444, Val Acc: 0.9479, Time: 13.9min (2.3 min/epoch)
Epoch: 7, Train loss: 0.0187, Train Acc: 0.9941, Val loss: 0.6851, Val Acc: 0.8681, Time: 16.2min (2.3 min/epoch)
Epoch: 8, Train loss: 0.0726, Train Acc: 0.9738, Val loss: 0.4104, Val Acc: 0.9080, Time: 18.6min (2.3 min/epoch)
Epoch: 9, Train loss: 0.0115, Train Acc: 0.9967, Val loss: 0.1363, Val Acc: 0.9724, Time: 20.9min (2.3 min/epoch)
	Save best checkpoint at epoch 9
Epoch: 10, Train loss: 0.0368, Train Acc: 0.9895, Val loss: 0.4689, Val Acc: 0.9018, Time: 23.2min (2.3 min/epoch)
Epoch: 11, Train loss: 0.0021, Train Acc: 1.0000, Val loss: 0.2131, Val Acc: 0.9540, Time: 25.6min (2.3 min/epoch)
Epoch: 12, Train loss: 0.0024, Train Acc: 0.9993, Val loss: 0.2427, Val Acc: 0.9479, Time: 27.9min (2.3 min/epoch)
Epoch: 13, Train loss: 0.0004, Train Acc: 1.0000, Val loss: 0.1947, Val Acc: 0.9632, Time: 30.2min (2.3 min/epoch)
